tx_hash,tx_from,tx_to,protocol,protocol_version,src_token_symbol,dst_token_symbol,src_token_amount,dst_token_amount,src_token_decimals,dst_token_decimals,amount_usd,tokens,transfers
0x7ba0ec37424e3ecfece7595672c45d8121213edc30ce2a1c7310aa52b5535701,0xda62f829497dda865c4380b74ddd8a818d2b4bb1,0x493f461aead031cee2027f1b95370a692611acb9,LOP,3,DAI,WETH,209788615479831071578560,62092743051216762364,18,18,209827.0067964639,2,2
0x925e0d4c75503fd799f9a32871e68649115cb3d1ea1033dbd9c6ee04953ae1aa,0x55dcad916750c19c4ec69d65ff0317767b36ce90,0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,LOP,3,LUSD,USDC,211034583005559357112664,209806686876,18,6,209667.16542922746,2,7
0x970076f7a65e36a737b780ae7adb6a33f69fa8fa60d22f8ae5582acb3bb805d5,0x64afe37455f8ab65b9dca7d5e925524319efa73a,0x8571c129f335832f6bbc76d49414ad2b8371a422,LOP,3,USDC,ETH,209555334284,83702112988336723578,6,18,209535.63608257732,3,6
0xdb78c2d8c18dd30dd92dc036f15fe6e48f5487953bd9b5399b000dc9284af5eb,0x406b5707c7436720fe93bfa12f9751f872f4a56e,0x8571c129f335832f6bbc76d49414ad2b8371a422,LOP,3,USDT,DAI,209137500000,209283072664153643527455,6,18,209454.05693452028,2,4
0x230c0bdbdc2234b597b26fe39570df3a396777a9a41dab59622ca351bf142480,0x818cf89054b3a5e03d4677b52982e8319d009194,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,WETH,60000000000000000000,60000000000000000000,18,18,209397.0,2,5
0x7d6c290c500d0621724812269b983909d4c3f92dbba00931a625a1c0ffa5005d,0x96ef7cf2f781579aa499e9e04f6f1ce6244149ac,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,pufETH,stETH,75000000000000000000,71275218192311797579,18,18,209390.25,4,11
0x1d6d93a65026796916a4514ccd24ca8c9f691671b3b9b9bd0c10d19b7a4fe421,0x8a05d886aaa096652506f0207df13d16ba6f032a,0x111111125421ca6dc452d289314280a0f8842a65,AR,6,ETH,sfrxETH,60000000000000000000,55940225123077143770,18,18,209346.6,4,7
0xcffb254dfe5373767ddc6300117744bafe97625262389d52829ca2d3604dc783,0xffab14b181409170378471b13ff2bff5be012c64,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,wstETH,ETH,60552565267417005670,70084929348310861907,18,18,209311.44683422768,3,4
0xd94d73f35f6fa8751354628652c4f468a8973266e8f05f0aa5c81b16a4d6ccdd,0x06981efbe070996654482f4f20786e0cef0f8740,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,WBTC,75000000000000000000,400517349,18,8,209283.0,3,8
0xfee28990bc48ae80e31e9b14f254e250204ffb7994385de5dbfcc10d7656de29,0xdb5a9cd236f1e78872edeb232d061038aefedc28,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,,61000000000000000000,209027149380,18,,209275.13999999998,4,9
0xf8f37a3f8aaabf8f13b7f41d766cc4b79e6c09e9b347f4223f42f0bc891b7496,0xb62f4f38bca544dedea1d1e1b00e802fe13fbfc7,0x881d40237659c251811cec9c364ef91dc08d300c,AR,5,LUSD,WBTC,209993423000698319548897,399403142,18,8,209255.29611885085,5,17
0xfa1202e98e100bf7799f364e2fec421ffe364342e2dbbc7222f8edb83cb31c40,0x890f1815a0935b10126bcfe6dd48ce37ed3064ed,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,UNI,WETH,19284788614000000000000,63838402736648549057,18,18,209239.9564619,2,9
0x99c17394010b253d5eee14080639a1c23903a7b97ecb68eadaed511c360ea0e5,0x64afe37455f8ab65b9dca7d5e925524319efa73a,0x8571c129f335832f6bbc76d49414ad2b8371a422,LOP,3,USDT,ETH,208506808767,62516449065202150762,6,18,209221.92459304008,3,6
0x892deb44d99bb189cf5352604e6c96ca5d8c13079502e9f8e4f7cd6afa198c9d,0xffab14b181409170378471b13ff2bff5be012c64,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,weETH,70000000000000000000,67926913757760061260,18,18,209209.7,3,7
0x83a1397d8d47b5a785eeb317d48de9918c7e9c59cc83624943240c0acc382771,0x813a2626709281260e3c00e4d1a161cae50d77e6,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,stETH,75000000000000000000,75022564664676343007,18,18,209188.4179571036,4,8
0xa368a2aafe350ce8941c1a474dc926cf7cbffc9bf78ddd7facfbaf51e8eebec3,0x4e14e058c0acacb6c90575cf3f8901125de5fd4d,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,WBTC,USDT,332536157,207934557391,8,6,209095.47666726142,4,9
0x0245c4d92347b0e2cb6963a3bb622246489448e32a29002a41b45c9084266807,0xd66570edcdade24edda902b28f2172e9ef8395dd,0xd1742b3c4fbb096990c8950fa635aec75b30781a,LOP,3,USDC,WETH,208793361723,66816831782022259931,6,18,208975.63832778414,2,3
0xe4947a71b5e6f4d83dd6260a028132ae0456ba1c51c5fde9a511ecc52c48ae9a,0xc37704a457b1ee87eb657cae584a34961e86acac,0x1111111254eeb25477b68fb85ed929f73a960582,LOP,3,MEME,USDT,7638378730226581000000000,208762396341,18,6,208910.4088800058,2,2
0xe4947a71b5e6f4d83dd6260a028132ae0456ba1c51c5fde9a511ecc52c48ae9a,0xc37704a457b1ee87eb657cae584a34961e86acac,0x1111111254eeb25477b68fb85ed929f73a960582,LOP,3,USDT,MEME,208762396341,7638378730226581000000000,6,18,208910.4088800058,2,2
0x4f230052164a3a49cdd02427342a93fa15cd7f7e711031a7b24a9c2e513ff299,0xd32a30cfe87c0130225175ffef53cd04767c6eff,0x0000000000450702bc4f750fd1e7ecad7054c4f1,LOP,3,tBTC,ETH,4078458292795544466,68087784520793730311,18,18,208890.5993984143,3,4
0x316d03fb2c1d81dd5d01428d8676143d42c6862fd15f045c4e6ace65d988a1a0,0x55dcad916750c19c4ec69d65ff0317767b36ce90,0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,LOP,3,WETH,USDC,75852314134733370713,208825434986,18,6,208870.332454522,2,2
0x273a85edae4f3d0e49b410341d37c7e938f32979ecf9964188f8f00f814c2ff7,0x6133de401fb609aacb767d8b379157731a09b66b,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDT,PAX,207970000000,208612203020911638735326,6,18,208687.30341399918,3,7
0xecd9b5725aeda7c043059e3bcbc4fad93289db8d9864dd0876b06023510e6a2e,0xffab14b181409170378471b13ff2bff5be012c64,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,wstETH,ETH,60546299184630690380,70074446990691654145,18,18,208682.5075476992,3,4
0x87cc31ca29cc5934a3c7ab799afb855882f3e8c82133214e8444e1428f3d2541,0x8be46b25d59616e594f0a9e20147fb14c1b989d9,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,weETH,70000000000000000000,67933139473984369517,18,18,208616.1,3,7
0xbcd69ac55ddb2010e23607937c23c81d639c6f4ceca165622bc2b883c1c5c94b,0x7f91d8962a07390bda2b7b000000f73c1f9065ef,0xdea6fdea0471ce1545331b7b93fdbd43786fa4c2,LOP,3,WETH,USDC,61347356930588235294,208581013564,18,6,208582.6822121085,2,2
0x25f6dffa86aa696343516def10a7c47b0137c789e978f93e67d1ec755332ff6c,0xa5a32eed9079269e576ea0c04f0327be7407f937,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,USDT,208361332593,208340230013,6,6,208521.2776728813,2,2
0x1bdb048ff0a530933ea9f0a6c8ed3d0057c8a3ad21a7e6157fc0c38e3fe0194b,0x4f58985b75eec8f14c536878a19eadf4a1960d6c,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,208300000000000000000000,208281774736,18,6,208279.06707292845,2,5
0x81ac376c02e693fa88d32dcd8c9b63b4e705b30248ca19f24f377e7d7c194584,0x440888714a6afed60ff44e9975a96e6a36f7fac4,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,frxETH,ETH,59993363456307534884,59749874986654418406,18,18,208277.30922597973,2,5
0x9daf2fd6b021a6e1030df4a7fe5510ee782e4eef6f20e64c0d7edba96b5e79a4,0x727d744ed218a59544f304a50e7e66b3346efd6e,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,wTAO,USDC,330665160580,208183163383,9,6,208257.9011386545,4,10
0x1e54bf4a532a4b00b56ca4fe58835b6e158b6974cdd5f2e3cc7278913cdc38bc,0x1e9d349cec77fea6481f009593101d0e20a69490,0x874d26f8f5dd55ee1a4167c49965b991c1c9530a,LOP,3,WBTC,ETH,400822812,74632081309053065236,8,18,208246.57008213238,3,5
0x4b4dc99a2ee89a3452ee1593c373ad1347121556ce26be63993142f4e919dde8,0x3ad0603ed5f5fc8d2c77360534a477ae41d7811a,0x874d26f8f5dd55ee1a4167c49965b991c1c9530a,LOP,3,USDT,USDC,208065918607,208127762397,6,6,208140.8223376985,2,5
0xaacfa004ea37327182a06d241e2bb856239c30c645607f609894ddfb1bafdd98,0x2de373887b9742162c9a5885ddb5debea8e4486d,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDT,USDC,208016117934,208170943939,6,6,208138.4314113452,2,5
0xe134f1fb08af667c8510587463ef633ae4675b79686794024594c10c1137abbd,0x8a05d886aaa096652506f0207df13d16ba6f032a,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,sfrxETH,59911000000000000000,55892444196092552284,18,18,208129.61578000002,4,7
0xb4dad88356f5129838116bb1c0afc93c333164307da1bea4b1e1b2b0dc7cf6b0,0xa7ec69d2b4e9c582ac4c4cf1e4b478d698d1e708,0x881d40237659c251811cec9c364ef91dc08d300c,AR,5,PANDORA,ETH,13542241923906647279,82649924167039814847,18,18,208019.1146382975,4,11
